date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:59:14	8728/8728	---M--	200	added ('OK')	image/jpeg	etag:%222218-650e98e5-7c0f8eefec9b9593;;;%22	https://html.xpressbuddy.com/kinter/assets/img/blog/blog-widget/widget-post02.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/blog/blog-widget/widget-post02.jpg	(from https://html.xpressbuddy.com/kinter/class-single.html)
16:59:14	153486/153486	---M--	200	added ('OK')	image/jpeg	etag:%222578e-650e98e5-18ec084e2cc5a547;;;%22	https://html.xpressbuddy.com/kinter/assets/img/class/class-9.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/class/class-9.jpg	(from https://html.xpressbuddy.com/kinter/class-single.html)
16:59:14	6020/6020	---M--	200	added ('OK')	image/jpeg	etag:%221784-650e98e5-77d1b77640541fde;;;%22	https://html.xpressbuddy.com/kinter/assets/img/blog/blog-widget/widget-post03.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/blog/blog-widget/widget-post03.jpg	(from https://html.xpressbuddy.com/kinter/class-single.html)
16:59:16	8095/8095	---M--	200	added ('OK')	image/jpeg	etag:%221f9f-650e98e5-2f21e6e9d5ff40a5;;;%22	https://html.xpressbuddy.com/kinter/assets/img/blog/blog-widget/widget-post04.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/blog/blog-widget/widget-post04.jpg	(from https://html.xpressbuddy.com/kinter/class-single.html)
16:59:16	16921/16921	---M--	200	added ('OK')	image/jpeg	etag:%224219-650e98e5-e80289d41629ec4;;;%22	https://html.xpressbuddy.com/kinter/assets/img/shop/img-1.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/shop/img-1.jpg	(from https://html.xpressbuddy.com/kinter/shop.html)
16:59:17	17513/17513	---M--	200	added ('OK')	image/jpeg	etag:%224469-650e98e5-bde4a1021b279edb;;;%22	https://html.xpressbuddy.com/kinter/assets/img/shop/img-2.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/shop/img-2.jpg	(from https://html.xpressbuddy.com/kinter/shop.html)
16:59:18	16248/16248	---M--	200	added ('OK')	image/jpeg	etag:%223f78-650e98e5-e1c5ea33df079437;;;%22	https://html.xpressbuddy.com/kinter/assets/img/shop/img-3.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/shop/img-3.jpg	(from https://html.xpressbuddy.com/kinter/shop.html)
16:59:18	21577/21577	---M--	200	added ('OK')	image/jpeg	etag:%225449-650e98e5-f979671d9f2594d8;;;%22	https://html.xpressbuddy.com/kinter/assets/img/shop/img-4.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/shop/img-4.jpg	(from https://html.xpressbuddy.com/kinter/shop.html)
16:59:19	22405/22405	---M--	200	added ('OK')	image/jpeg	etag:%225785-650e98e5-4353570ea8f5a470;;;%22	https://html.xpressbuddy.com/kinter/assets/img/shop/img-5.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/shop/img-5.jpg	(from https://html.xpressbuddy.com/kinter/shop.html)
16:59:19	14679/14679	---M--	200	added ('OK')	image/jpeg	etag:%223957-650e98e5-c7617bbe7a9c85ce;;;%22	https://html.xpressbuddy.com/kinter/assets/img/shop/img-6.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/shop/img-6.jpg	(from https://html.xpressbuddy.com/kinter/shop.html)
16:59:20	19679/19679	---M--	200	added ('OK')	image/jpeg	etag:%224cdf-650e98e5-d9641df2183dad3e;;;%22	https://html.xpressbuddy.com/kinter/assets/img/shop/img-8.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/shop/img-8.jpg	(from https://html.xpressbuddy.com/kinter/shop.html)
16:59:20	198136/198136	---M--	200	added ('OK')	image/jpeg	etag:%22305f8-650e98e5-bde5e24471828d89;;;%22	https://html.xpressbuddy.com/kinter/assets/img/class/class-7.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/class/class-7.jpg	(from https://html.xpressbuddy.com/kinter/class-single.html)
16:59:21	23969/23969	---M--	200	added ('OK')	image/jpeg	etag:%225da1-650e98e5-bee77b4c54d697b9;;;%22	https://html.xpressbuddy.com/kinter/assets/img/shop/img-9.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/shop/img-9.jpg	(from https://html.xpressbuddy.com/kinter/shop.html)
16:59:21	30366/30366	---M--	200	added ('OK')	image/jpeg	etag:%22769e-650e98e5-6beec0919f97d051;;;%22	https://html.xpressbuddy.com/kinter/assets/img/shop/img-7.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/shop/img-7.jpg	(from https://html.xpressbuddy.com/kinter/shop.html)
16:59:22	2622/2622	---M--	200	added ('OK')	image/jpeg	etag:%22a3e-650e98e5-ee18176362d39899;;;%22	https://html.xpressbuddy.com/kinter/assets/img/shop/review/img-1.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/shop/review/img-1.jpg	(from https://html.xpressbuddy.com/kinter/shop-single.html)
16:59:22	2338/2338	---M--	200	added ('OK')	image/jpeg	etag:%22922-650e98e5-9355bc4af683de80;;;%22	https://html.xpressbuddy.com/kinter/assets/img/shop/review/img-2.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/shop/review/img-2.jpg	(from https://html.xpressbuddy.com/kinter/shop-single.html)
16:59:23	2992/2992	---M--	200	added ('OK')	image/jpeg	etag:%22bb0-650e98e5-cb2fbf42da475c80;;;%22	https://html.xpressbuddy.com/kinter/assets/img/shop/review/img-3.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/shop/review/img-3.jpg	(from https://html.xpressbuddy.com/kinter/shop-single.html)
16:59:23	3413/3413	---M--	200	added ('OK')	image/png	etag:%22d55-650e98e5-66b33c4b7b43d6d0;;;%22	https://html.xpressbuddy.com/kinter/assets/img/shop/paypal.png	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/shop/paypal.png	(from https://html.xpressbuddy.com/kinter/checkout.html)
16:59:25	198136/198136	---M--	200	added ('OK')	image/jpeg	etag:%22305f8-650e98e5-39500bbf25ec5bc8;;;%22	https://html.xpressbuddy.com/kinter/assets/img/blog/blog02.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/blog/blog02.jpg	(from https://html.xpressbuddy.com/kinter/blog.html)
16:59:25	181592/181592	---M--	200	added ('OK')	image/jpeg	etag:%222c558-650e98e5-67bf5d83fa88638a;;;%22	https://html.xpressbuddy.com/kinter/assets/img/blog/blog01.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/blog/blog01.jpg	(from https://html.xpressbuddy.com/kinter/blog.html)
16:59:26	1867/1867	---M--	200	added ('OK')	image/png	etag:%2274b-650e98e5-15b949310e3fe31e;;;%22	https://html.xpressbuddy.com/kinter/assets/img/blog/comment01.png	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/blog/comment01.png	(from https://html.xpressbuddy.com/kinter/blog-details.html)
16:59:26	2289/2289	---M--	200	added ('OK')	image/png	etag:%228f1-650e98e5-c80cdbbd46d13e6a;;;%22	https://html.xpressbuddy.com/kinter/assets/img/blog/comment02.png	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/blog/comment02.png	(from https://html.xpressbuddy.com/kinter/blog-details.html)
16:59:29	153486/153486	---M--	200	added ('OK')	image/jpeg	etag:%222578e-650e98e5-8b3ce22055ebc11d;;;%22	https://html.xpressbuddy.com/kinter/assets/img/blog/blog03.jpg	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/assets/img/blog/blog03.jpg	(from https://html.xpressbuddy.com/kinter/blog.html)
16:59:29	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-630f3901-f09b2dfe3914f45d;gz%22	https://html.xpressbuddy.com/kinter/Version/	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/Version/index.html	(from https://html.xpressbuddy.com/kinter/assets/js/swiper.min.js)
16:59:29	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-630f3901-f09b2dfe3914f45d;gz%22	https://html.xpressbuddy.com/kinter/version/	C:/Users/UK%20-USER/Desktop/projects/6/school/html.xpressbuddy.com/kinter/version/index-2.html	(from https://html.xpressbuddy.com/kinter/assets/js/swiper.min.js)
